band_id,name,slug,source,source_id
summer-breeze-legends-orchestra,Summer Breeze Legends & Orchestra,summer-breeze-legends-orchestra,summer-breeze-site,229231
electric-callboy,Electric Callboy,eskimo-callboy,summer-breeze-site,108337
edguy,Edguy,edguy,summer-breeze-site,229207
saltatio-mortis,Saltatio Mortis,saltatio-mortis,summer-breeze-site,89495
children-of-bodom,Children Of Bodom,children-of-bodom,summer-breeze-site,102943
hammerfall,HammerFall,hammerfall,summer-breeze-site,203957
halestorm,Halestorm,halestorm,summer-breeze-site,229162
wind-rose,Wind Rose,wind-rose,summer-breeze-site,224431
lord-of-the-lost,Lord Of The Lost,lord-of-the-lost,summer-breeze-site,122276
eluveitie,Eluveitie,eluveitie,summer-breeze-site,107267
h-blockx,H-Blockx,h-blockx,summer-breeze-site,204142
swiss-die-andern,Swiss + Die Andern,swiss-die-andern,summer-breeze-site,229167
clawfinger,Clawfinger,clawfinger,summer-breeze-site,210803
kataklysm,Kataklysm,kataklysm,summer-breeze-site,110672
mono-inc,Mono Inc.,mono-inc,summer-breeze-site,105082
warkings,Warkings,warkings,summer-breeze-site,214729
dark-funeral,Dark Funeral,dark-funeral,summer-breeze-site,77313
gloryhammer,Gloryhammer,gloryhammer,summer-breeze-site,112800
finntroll,Finntroll,finntroll,summer-breeze-site,94004
atreyu,Atreyu,atreyu,summer-breeze-site,229261
shadow-of-intent,Shadow Of Intent,shadow-of-intent,summer-breeze-site,214747
emil-bulls,Emil Bulls,emil-bulls,summer-breeze-site,112486
equilibrium,Equilibrium,equilibrium,summer-breeze-site,103853
john-bush-celebrating-the-songs-of-anthrax-1993-2003,John Bush Celebrating The Songs Of Anthrax 1993-2003,john-bush-celebrating-the-songs-of-anthrax-1993-2003,summer-breeze-site,229255
carnifex,Carnifex,carnifex,summer-breeze-site,112788
the-browning,The Browning,the-browning,summer-breeze-site,229252
gaerea,Gaerea,gaerea,summer-breeze-site,221140
long-distance-calling,Long Distance Calling,long-distance-calling,summer-breeze-site,92093
make-them-suffer,Make Them Suffer,make-them-suffer,summer-breeze-site,229248
mittel-alta,Mittel Alta,mittel-alta,summer-breeze-site,226332
any-given-day,Any Given Day,any-given-day,summer-breeze-site,112464
gutalax,Gutalax,gutalax,summer-breeze-site,108104
blue-medusa,Blue Medusa,blue-medusa,summer-breeze-site,229244
insomnium,Insomnium,insomnium,summer-breeze-site,54494
combichrist,Combichrist,combichrist,summer-breeze-site,112790
peeling-flesh,Peeling Flesh,peeling-flesh,summer-breeze-site,229227
anaal-nathrakh,Anaal Nathrakh,anaal-nathrakh,summer-breeze-site,53962
fleshgod-apocalypse,Fleshgod Apocalypse,fleshgod-apocalypse,summer-breeze-site,93593
primal-fear,Primal Fear,primal-fear,summer-breeze-site,104954
nasty,Nasty,nasty,summer-breeze-site,95030
burning-witches,Burning Witches,burning-witches,summer-breeze-site,210789
kupfergold,Kupfergold,kupfergold,summer-breeze-site,223738
end-of-green,End Of Green,end-of-green,summer-breeze-site,93044
wolfheart,Wolfheart,wolfheart,summer-breeze-site,105099
legion-of-the-damned,Legion Of The Damned,legion-of-the-damned,summer-breeze-site,105026
ellende,Ellende,ellende,summer-breeze-site,229211
angelus-apatrida,Angelus Apatrida,angelus-apatrida,summer-breeze-site,216699
abbie-falls,Abbie Falls,abbie-falls,summer-breeze-site,221124
samurai-pizza-cats,Samurai Pizza Cats,samurai-pizza-cats,summer-breeze-site,223557
necrotted,Necrotted,necrotted,summer-breeze-site,112474
left-to-suffer,Left To Suffer,left-to-suffer,summer-breeze-site,229196
evil-invaders,Evil Invaders,evil-invaders,summer-breeze-site,123238
hiraes,Hiraes,hiraes,summer-breeze-site,225195
lavina,Lavina,lavina,summer-breeze-site,229188
asenblut,Asenblut,asenblut,summer-breeze-site,123538
accvsed,Accvsed,accvsed,summer-breeze-site,226020
spitting-glass,Spitting Glass,spitting-glass,summer-breeze-site,229184
ahab,Ahab,ahab,summer-breeze-site,105018
sunborn,Sunborn,sunborn,summer-breeze-site,229181
the-night-eternal,The Night Eternal,the-night-eternal,summer-breeze-site,223563
defiance-hc,Defiance HC,defiance-hc,summer-breeze-site,226040
regarde-les-hommes-tomber,Regarde Les Hommes Tomber,regarde-les-hommes-tomber,summer-breeze-site,229177
capacopter,Capacopter,capacopter,summer-breeze-site,229175
